UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	sup	
# m applied d		
2015-04-20 , 	3730.00
2015-04-21 , 	3730.00
2015-04-22 , 	3730.00
2015-04-23 , 	3730.00
2015-04-24 , 	3730.00
2015-04-25 , 	3730.00
2015-04-26 , 	3730.00
2015-04-27 , 	3730.00
2015-04-28 , 	3730.00
2015-04-29 , 	3730.00
2015-04-30 , 	3730.00
2015-05-01 , 	5640.00
2015-05-02 , 	5640.00
2015-05-03 , 	5640.00
2015-05-04 , 	5640.00
2015-05-05 , 	5640.00
2015-05-06 , 	5640.00
2015-05-07 , 	5640.00
2015-05-08 , 	5640.00
2015-05-09 , 	5640.00
2015-05-10 , 	5640.00
2015-05-11 , 	5640.00
2015-05-12 , 	5640.00
2015-05-13 , 	5640.00
2015-05-14 , 	5640.00
2015-05-15 , 	5640.00
2015-05-16 , 	5640.00
2015-05-17 , 	5640.00
2015-05-18 , 	5640.00
2015-05-19 , 	5640.00
2015-05-20 , 	5640.00
2015-05-21 , 	5640.00
2015-05-22 , 	5640.00
2015-05-23 , 	5640.00
2015-05-24 , 	5640.00
2015-05-25 , 	5640.00
2015-05-26 , 	5640.00
2015-05-27 , 	5640.00
2015-05-28 , 	5640.00
2015-05-29 , 	5640.00
2015-05-30 , 	5640.00
2015-05-31 , 	5640.00
2015-06-01 , 	4900.00
2015-06-02 , 	4900.00
2015-06-03 , 	4900.00
2015-06-04 , 	4900.00
2015-06-05 , 	4900.00
2015-06-06 , 	4900.00
2015-06-07 , 	4900.00
2015-06-08 , 	4900.00
2015-06-09 , 	4900.00
2015-06-10 , 	4900.00
2015-06-11 , 	4900.00
2015-06-12 , 	4900.00
2015-06-13 , 	4900.00
2015-06-14 , 	4900.00
2015-06-15 , 	4900.00
2015-06-16 , 	4900.00
2015-06-17 , 	4900.00
2015-06-18 , 	4900.00
2015-06-19 , 	4900.00
2015-06-20 , 	4900.00
2015-06-21 , 	4900.00
2015-06-22 , 	4900.00
2015-06-23 , 	4900.00
2015-06-24 , 	4900.00
2015-06-25 , 	4900.00
2015-06-26 , 	4900.00
2015-06-27 , 	4900.00
2015-06-28 , 	4900.00
2015-06-29 , 	4900.00
2015-06-30 , 	4900.00
2015-07-01 , 	3560.00
2015-07-02 , 	3560.00
2015-07-03 , 	3560.00
2015-07-04 , 	3560.00
2015-07-05 , 	3560.00
2015-07-06 , 	3560.00
