UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2014-12-29 , 	183.60
2014-12-30 , 	183.59
2014-12-31 , 	183.59
2015-01-01 , 	183.60
2015-01-02 , 	183.58
2015-01-03 , 	183.57
2015-01-04 , 	183.59
2015-01-05 , 	183.58
2015-01-06 , 	183.58
2015-01-07 , 	183.58
2015-01-08 , 	183.57
2015-01-09 , 	183.58
2015-01-10 , 	183.57
2015-01-11 , 	183.56
2015-01-12 , 	183.56
2015-01-13 , 	183.53
2015-01-14 , 	183.54
2015-01-15 , 	183.54
2015-01-16 , 	183.54
2015-01-17 , 	183.51
2015-01-18 , 	183.54
2015-01-19 , 	183.53
2015-01-20 , 	183.52
2015-01-21 , 	183.51
2015-01-22 , 	183.51
2015-01-23 , 	183.51
2015-01-24 , 	183.53
2015-01-25 , 	183.51
2015-01-26 , 	183.49
2015-01-27 , 	183.50
2015-01-28 , 	183.49
2015-01-29 , 	183.51
2015-01-30 , 	183.50
2015-01-31 , 	183.51
2015-02-01 , 	183.49
2015-02-02 , 	183.48
2015-02-03 , 	183.49
2015-02-04 , 	183.49
2015-02-05 , 	183.47
2015-02-06 , 	183.49
2015-02-07 , 	183.48
2015-02-08 , 	183.48
2015-02-09 , 	183.48
2015-02-10 , 	183.47
2015-02-11 , 	183.49
2015-02-12 , 	183.49
2015-02-13 , 	183.47
2015-02-14 , 	183.49
2015-02-15 , 	183.47
2015-02-16 , 	183.45
2015-02-17 , 	183.46
2015-02-18 , 	183.47
2015-02-19 , 	183.46
2015-02-20 , 	183.44
2015-02-21 , 	183.46
2015-02-22 , 	183.46
2015-02-23 , 	183.44
2015-02-24 , 	183.45
2015-02-25 , 	183.45
2015-02-26 , 	183.45
2015-02-27 , 	183.44
2015-02-28 , 	183.43
2015-03-01 , 	183.43
2015-03-02 , 	183.44
2015-03-03 , 	183.43
2015-03-04 , 	183.44
2015-03-05 , 	183.43
2015-03-06 , 	183.42
2015-03-07 , 	183.43
2015-03-08 , 	183.42
2015-03-09 , 	183.43
2015-03-10 , 	183.42
2015-03-11 , 	183.43
2015-03-12 , 	183.42
2015-03-13 , 	183.41
2015-03-14 , 	183.44
2015-03-15 , 	183.42
2015-03-16 , 	183.43
2015-03-17 , 	183.43
2015-03-18 , 	183.43
2015-03-19 , 	183.41
2015-03-20 , 	183.42
2015-03-21 , 	183.43
2015-03-22 , 	183.42
2015-03-23 , 	183.41
2015-03-24 , 	183.40
2015-03-25 , 	183.40
2015-03-26 , 	183.43
2015-03-27 , 	183.42
2015-03-28 , 	183.41
2015-03-29 , 	183.40
2015-03-30 , 	183.42
2015-03-31 , 	183.42
2015-04-01 , 	183.41
2015-04-02 , 	183.41
2015-04-03 , 	183.43
2015-04-04 , 	183.41
2015-04-05 , 	183.41
2015-04-06 , 	183.41
2015-04-07 , 	183.42
2015-04-08 , 	183.40
2015-04-09 , 	183.40
2015-04-10 , 	183.43
2015-04-11 , 	183.42
2015-04-12 , 	183.40
2015-04-13 , 	183.42
2015-04-14 , 	183.43
2015-04-15 , 	183.43
2015-04-16 , 	183.43
2015-04-17 , 	183.43
2015-04-18 , 	183.45
2015-04-19 , 	183.43
2015-04-20 , 	183.45
2015-04-21 , 	183.46
2015-04-22 , 	183.48
2015-04-23 , 	183.48
2015-04-24 , 	183.48
2015-04-25 , 	183.48
2015-04-26 , 	183.48
2015-04-27 , 	183.48
2015-04-28 , 	183.47
2015-04-29 , 	183.49
2015-04-30 , 	183.49
2015-05-01 , 	183.48
2015-05-02 , 	183.48
2015-05-03 , 	183.48
2015-05-04 , 	183.49
2015-05-05 , 	183.49
2015-05-06 , 	183.49
2015-05-07 , 	183.48
2015-05-08 , 	183.49
2015-05-09 , 	183.51
2015-05-10 , 	183.52
2015-05-11 , 	183.52
2015-05-12 , 	183.54
2015-05-13 , 	183.53
2015-05-14 , 	183.53
2015-05-15 , 	183.53
2015-05-16 , 	183.53
2015-05-17 , 	183.53
2015-05-18 , 	183.54
2015-05-19 , 	183.56
2015-05-20 , 	183.54
2015-05-21 , 	183.55
2015-05-22 , 	183.54
2015-05-23 , 	183.53
2015-05-24 , 	183.54
2015-05-25 , 	183.55
2015-05-26 , 	183.57
2015-05-27 , 	183.58
2015-05-28 , 	183.58
2015-05-29 , 	183.58
2015-05-30 , 	183.60
2015-05-31 , 	183.59
2015-06-01 , 	183.59
2015-06-02 , 	183.59
2015-06-03 , 	183.59
2015-06-04 , 	183.60
